{[0,1]0.137255;[1,2]0.431373;[2,3]0.0784314;[3,4]0.205882;[4,5]0.0882353;[5,6]0.0588235},{[0,1]0.911765;[1,2]0.0196078;[2,3]0.0686275;[3,4]0;[4,5]0},{[0,1]1;[1,2]0;[2,3]0;[3,4]0},{[0,1]0.470588;[1,2]0.254902;[2,3]0.186275;[3,4]0.0882353},{[-723.252,-339.648]1},{[-133.915,250.833]1},{[-492.03,-109.171]1},{[-229.945,184.418]1},{[-879.714,-501.154]1},{[-491.784,-70.0142]1},{[-619.294,-254.113]1},{[-351.24,-29.4456]1},{[-99.9869,307.267]1},{[-611.259,-169.298]1},{[-140.041,272.75]1},{[-542.372,-146.887]1},{[-840.002,-574.568]1}
{[0,1]0.0847458;[1,2]0.491525;[2,3]0.0847458;[3,4]0.152542;[4,5]0.118644;[5,6]0.0677966},{[0,1]0.559322;[1,2]0.152542;[2,3]0.288136;[3,4]0;[4,5]0},{[0,1]0;[1,2]0.983051;[2,3]0.0169492;[3,4]0},{[0,1]0.491525;[1,2]0.322034;[2,3]0.0847458;[3,4]0.101695},{[-243.865,203.987]1},{[-134.152,314.804]1},{[-658.772,-237.903]1},{[86.5714,515.335]1},{[-573.001,-123.139]1},{[-200.612,268.213]1},{[-477.144,110.658]1},{[-403.24,84.2627]1},{[33.956,536.723]1},{[-747.455,-81.7909]1},{[-215.066,308.081]1},{[-194.663,355.844]1},{[-669.761,-235.981]1}
{[0,1]0.13;[1,2]0.415;[2,3]0.095;[3,4]0.24;[4,5]0.085;[5,6]0.035},{[0,1]0.155;[1,2]0.325;[2,3]0.18;[3,4]0.215;[4,5]0.125},{[0,1]0.27;[1,2]0.73;[2,3]0;[3,4]0},{[0,1]0.56;[1,2]0.22;[2,3]0.18;[3,4]0.04},{[-195.445,90.1041]1},{[-75.0021,191.174]1},{[-592.277,-299.039]1},{[-138.876,138.294]1},{[-161.178,124.498]1},{[-89.6468,203.356]1},{[-368.917,-88.567]1},{[-238.369,20.7219]1},{[-190.282,83.1155]1},{[-124.202,158.015]1},{[-54.8751,226.655]1},{[-120.522,164.488]1},{[-204.667,70.6274]1}
{[0,1]0.180851;[1,2]0.5;[2,3]0.106383;[3,4]0.148936;[4,5]0.0319149;[5,6]0.0319149},{[0,1]0.117021;[1,2]0.180851;[2,3]0.0744681;[3,4]0.276596;[4,5]0.351064},{[0,1]0;[1,2]0;[2,3]0.553191;[3,4]0.446809},{[0,1]0.638298;[1,2]0.212766;[2,3]0.138298;[3,4]0.0106383},{[-279.12,120.606]1},{[342.579,705.031]1},{[-826.253,-484.483]1},{[-103.316,306.757]1},{[124.947,498.152]1},{[-68.6894,294.248]1},{[-721.003,-326.774]1},{[-35.9482,357.492]1},{[-283.058,148.648]1},{[-22.6598,364.627]1},{[-60.7766,371.921]1},{[-1.3067,442.536]1},{[-421.295,-78.978]1}
{[0,1]0.118143;[1,2]0.383966;[2,3]0.0801688;[3,4]0.299578;[4,5]0.101266;[5,6]0.0168776},{[0,1]0.105485;[1,2]0.265823;[2,3]0.265823;[3,4]0.236287;[4,5]0.126582},{[0,1]0.50211;[1,2]0.49789;[2,3]0;[3,4]0},{[0,1]0.459916;[1,2]0.244726;[2,3]0.185654;[3,4]0.109705},{[-220.137,54.1119]1},{[57.1326,333.193]1},{[-88.3144,161.992]1},{[-429.867,-126.019]1},{[-194.454,81.4424]1},{[55.9997,338.629]1},{[-477.526,-220.69]1},{[-369.036,-133.666]1},{[-308.446,-50.6188]1},{[-114.893,138.598]1},{[-121.649,145.671]1},{[-223.077,13.3174]1},{[223.755,471.227]1}
{[0,1]0.1;[1,2]0.575;[2,3]0.1;[3,4]0.1;[4,5]0.0875;[5,6]0.0375},{[0,1]0.0375;[1,2]0.125;[2,3]0.0625;[3,4]0.225;[4,5]0.55},{[0,1]0;[1,2]0;[2,3]0.425;[3,4]0.575},{[0,1]0.575;[1,2]0.2375;[2,3]0.175;[3,4]0.0125},{[-182.917,241.02]1},{[269.64,685.193]1},{[-514.617,-24.757]1},{[-185.485,238.642]1},{[-138.398,227.699]1},{[-251.674,178.939]1},{[-699.532,-254.39]1},{[-40.3036,367.349]1},{[-498.262,-43.5761]1},{[-131.136,295.175]1},{[-199.265,285.65]1},{[-402.398,48.6859]1},{[45.5318,421.96]1}
{[0,1]0.0985915;[1,2]0.394366;[2,3]0.0985915;[3,4]0.309859;[4,5]0.056338;[5,6]0.0422535},{[0,1]0.140845;[1,2]0.197183;[2,3]0.605634;[3,4]0.0422535;[4,5]0.0140845},{[0,1]0.830986;[1,2]0.169014;[2,3]0;[3,4]0},{[0,1]0.450704;[1,2]0.239437;[2,3]0.15493;[3,4]0.15493},{[-158.769,320.109]1},{[52.8915,504.421]1},{[192.707,584.903]1},{[-1117.93,-607.363]1},{[-619.412,-146.905]1},{[13.3991,500.751]1},{[-547.578,-164.154]1},{[-579.987,-242.707]1},{[-572.77,-141.233]1},{[-534.939,24.7821]1},{[-601.508,-101.453]1},{[-480.683,-28.974]1},{[241.103,659.906]1}
{[0,1]0.1875;[1,2]0.46875;[2,3]0.09375;[3,4]0.135417;[4,5]0.0833333;[5,6]0.03125},{[0,1]0.989583;[1,2]0.0104167;[2,3]0;[3,4]0;[4,5]0},{[0,1]1;[1,2]0;[2,3]0;[3,4]0},{[0,1]0.5;[1,2]0.25;[2,3]0.145833;[3,4]0.104167},{[-431.928,-43.5513]1},{[-570.567,-259.453]1},{[-240.449,136.846]1},{[62.2788,429.719]1},{[-412.119,-60.1967]1},{[-488.723,-164.399]1},{[55.8215,392.137]1},{[-41.5398,316.59]1},{[307.163,692.682]1},{[-560.447,-133.028]1},{[-40.8266,273.277]1},{[-399.758,-21.1732]1},{[-738.691,-412.033]1}
{[0,1]0.223881;[1,2]0.41791;[2,3]0.134328;[3,4]0.149254;[4,5]0.0298507;[5,6]0.0447761},{[0,1]0.731343;[1,2]0.0447761;[2,3]0.208955;[3,4]0.0149254;[4,5]0},{[0,1]0;[1,2]0.925373;[2,3]0.0746269;[3,4]0},{[0,1]0.61194;[1,2]0.223881;[2,3]0.119403;[3,4]0.0447761},{[-330.752,81.512]1},{[-522.619,-62.1773]1},{[-163.814,237.745]1},{[205.258,576.222]1},{[-113.183,282.042]1},{[-174.154,158.637]1},{[15.9353,489.104]1},{[-1.71607,488.161]1},{[-23.2034,403.798]1},{[-336.704,106.284]1},{[129.759,451.066]1},{[41.9327,482.79]1},{[-753.14,-364.43]1}
{[0,1]0.177419;[1,2]0.446237;[2,3]0.107527;[3,4]0.172043;[4,5]0.0430108;[5,6]0.0537634},{[0,1]0.22043;[1,2]0.413978;[2,3]0.295699;[3,4]0.0645161;[4,5]0.00537634},{[0,1]0.188172;[1,2]0.811828;[2,3]0;[3,4]0},{[0,1]0.537634;[1,2]0.252688;[2,3]0.134409;[3,4]0.0752688},{[-86.0335,172.786]1},{[-364.685,-100.648]1},{[190.047,446.535]1},{[210.843,448.081]1},{[-102.237,187.555]1},{[-307.831,-48.4754]1},{[291.44,545.259]1},{[-20.448,292.168]1},{[111.343,387.684]1},{[-146.631,137.064]1},{[-79.8943,184.661]1},{[-67.3861,207.001]1},{[-333.548,-59.4396]1}
